"lab","consensus_id","mixture","polarity","mz","chrom_peak_id","peakCount","maxIntensity","baselineIntensity","signalToNoiseRatio","peakWidth","peakProminence","left_boundary","right_boundary","areaUnderTic","xicFwhm","gaussianSimilarity.gaussian_similarity","gaussianSimilarity.gaussian_residuals"
"cembio",627,"3_2",1,282.199001049292,"CP125686",10,9364.181640625,501.121549987793,NA,4.73750000000996,12.3164208621591,605.036657688305,609.774157688315,33925.4329223633,2.13243828619966,0.98829777201036,4.90320484408161
"cembio",521,"3_2",1,524.45177230496,"CP125867",22,3999.0908203125,568.582312011719,10.5430581927314,6.76799999999992,5.89489812023115,605.713157688305,612.481157688305,17597.7509765625,1.91568327838615,0.893118258962736,4.25869245600984
"cembio",606,"3_2",1,211.146340360465,"CP126009",16,15773,3403.47747802734,7.26435316177513,6.17737077510355,3.43227167187163,571.777296920278,577.954667695381,85623.44921875,3.2523607976201,0.977288249835167,5.0695844219388
"cembio",608,"3_2",1,215.17775395456,"CP126137",22,34788.34375,3091.62280273438,15.4910318040938,8.21686076802712,9.75130319878628,571.777296920278,579.994157688305,179068.668945312,2.9059241049946,0.968343061958947,5.52089089524529
"cembio",532,"3_2",1,564.431968575602,"CP126322",12,3809.73608398438,262.647691345215,NA,4.06049999996992,13.0655511432112,628.047157688315,632.107657688285,10946.2804260254,1.65366165211731,0.988276564939598,4.5445556556884
"cembio",531,"3_2",1,563.428121769905,"CP126389",16,10339.30859375,343.975147247314,NA,7.44449999999995,25.6977625038076,627.370157688305,634.814657688305,29654.5572967529,1.46612066524972,0.866763850416212,4.65673114172058
"cembio",466,"3_2",1,391.284236640517,"CP126419",14,6645.8017578125,541.588610839844,NA,4.06100000004005,10.0024579321369,625.339657688285,629.400657688325,23201.9140625,2.12361266552625,0.988910465431237,4.92870765235178
"cembio",439,"3_2",1,329.202606972772,"CP126591",22,3358.84301757812,753.7306640625,7.50638693290341,8.79800000000989,3.31786693217385,636.845157688295,645.643157688305,23749.559753418,4.70905324815499,0.48183029228122,3.99337092303356
"cembio",551,"3_2",1,658.509903756423,"CP126934",36,22217.56640625,525.494552612305,9.893471276116,12.3502806126536,34.2239802744801,520.292052427497,532.642333040151,144712.404663086,3.030837356902,0.977209101938499,5.42291451480914
"cembio",448,"3_2",1,338.341341828848,"CP126958",18,4755.3828125,1200.57494506836,7.2103000748136,7.44449999999995,2.15709212789657,634.814657688305,642.259157688305,32847.3999023438,3.80335411792771,0.855320508237621,4.13377047968266
