"lab","polarity","rt_local","rt_aligned"
"afekta","neg",145.046615615613,148.196732240212
"afekta","neg",145.587928928927,148.732050509026
"afekta","neg",146.12924224224,149.266678123154
"afekta","neg",146.670555555553,149.800626606067
"afekta","neg",147.211868868867,150.333907481237
"afekta","neg",147.75318218218,150.866532272133
"afekta","neg",148.294495495493,151.398512502229
"afekta","neg",148.835808808807,151.929859694995
"afekta","neg",149.37712212212,152.460585373902
"afekta","neg",149.918435435433,152.990701062421
"afekta","neg",150.459748748746,153.520218284025
"afekta","neg",151.00106206206,154.049148562184
"afekta","neg",151.542375375373,154.577503420369
"afekta","neg",152.083688688686,155.105294382052
"afekta","neg",152.625002002,155.632532970704
"afekta","neg",153.166315315313,156.159230709796
"afekta","neg",153.707628628626,156.6853991228
"afekta","neg",154.24894194194,157.211049733186
"afekta","neg",154.790255255253,157.736194064427
"afekta","neg",155.331568568566,158.260843639993
"afekta","neg",155.872881881879,158.785009983356
"afekta","neg",156.414195195193,159.308704617987
"afekta","neg",156.955508508506,159.831939067357
"afekta","neg",157.496821821819,160.354724854938
"afekta","neg",158.038135135133,160.8770735042
"afekta","neg",158.579448448446,161.398996538615
"afekta","neg",159.120761761759,161.920505481655
"afekta","neg",159.662075075073,162.44161185679
"afekta","neg",160.203388388386,162.962327187493
"afekta","neg",160.744701701699,163.482662997233
"afekta","neg",161.286015015013,164.002630809483
"afekta","neg",161.827328328326,164.522242147713
"afekta","neg",162.368641641639,165.041508535396
"afekta","neg",162.909954954952,165.560441496002
"afekta","neg",163.451268268266,166.079052553002
"afekta","neg",163.992581581579,166.597353229869
"afekta","neg",164.533894894892,167.115355050072
"afekta","neg",165.075208208206,167.633069537084
"afekta","neg",165.616521521519,168.150508214375
"afekta","neg",166.157834834832,168.667682605417
"afekta","neg",166.699148148146,169.184604233682
"afekta","neg",167.240461461459,169.70128462264
"afekta","neg",167.781774774772,170.217735295763
"afekta","neg",168.323088088085,170.733967776522
"afekta","neg",168.864401401399,171.249993588388
"afekta","neg",169.405714714712,171.765824254833
"afekta","neg",169.947028028025,172.281471299328
"afekta","neg",170.488341341339,172.796946245344
"afekta","neg",171.029654654652,173.312260616352
"afekta","neg",171.570967967965,173.827425935824
"afekta","neg",172.112281281279,174.342453727231
"afekta","neg",172.653594594592,174.857355514044
"afekta","neg",173.194907907905,175.372142819735
"afekta","neg",173.736221221218,175.886827167775
"afekta","neg",174.277534534532,176.401420081635
"afekta","neg",174.818847847845,176.915933084786
"afekta","neg",175.360161161158,177.4303777007
"afekta","neg",175.901474474472,177.944765452848
"afekta","neg",176.442787787785,178.459107864701
"afekta","neg",176.984101101098,178.97341645973
"afekta","neg",177.525414414412,179.487702761407
"afekta","neg",178.066727727725,180.001978293204
"afekta","neg",178.608041041038,180.51625457859
"afekta","neg",179.149354354352,181.030543141038
"afekta","neg",179.690667667665,181.544855504019
"afekta","neg",180.231980980978,182.059203191005
"afekta","neg",180.773294294291,182.573597725465
"afekta","neg",181.314607607605,183.088050630873
"afekta","neg",181.855920920918,183.602573430698
"afekta","neg",182.397234234231,184.117177648413
"afekta","neg",182.938547547545,184.631874807488
"afekta","neg",183.479860860858,185.146676431395
"afekta","neg",184.021174174171,185.661594043605
"afekta","neg",184.562487487485,186.176639167589
"afekta","neg",185.103800800798,186.691823326819
"afekta","neg",185.645114114111,187.207158044766
"afekta","neg",186.186427427424,187.722654844902
"afekta","neg",186.727740740738,188.238325250696
"afekta","neg",187.269054054051,188.754180785622
"afekta","neg",187.810367367364,189.270232973149
"afekta","neg",188.351680680678,189.78649333675
"afekta","neg",188.892993993991,190.302973399895
"afekta","neg",189.434307307304,190.819684686057
"afekta","neg",189.975620620618,191.336638718705
"afekta","neg",190.516933933931,191.853847021312
"afekta","neg",191.058247247244,192.371321117348
"afekta","neg",191.599560560557,192.889072530286
"afekta","neg",192.140873873871,193.407112783595
