"mixture","lab","polarity","xcms_fts","compound","inchikey_2d","rt_sec","ionMass","adduct","cosmic"
"1.1","cembio","neg","39","L-homoserine","UKAUYVFTDYCKQA",42.94699999998,118.05110168457,"[M - H]-",0.484329219338276
"1.1","cembio","neg","40","L-valine","KZSNJWFQEVHDMF",43.94299999998,116.071701049805,"[M - H]-",0.154497560508738
"1.1","cembio","neg","41","alpha-D-glucosamine 6-phosphate","XHMJOUIAFHJHBW",44.93899999998,258.038787841797,"[M - H]-",0.220993462003773
"1.1","cembio","neg","43","L-lysine","KDXKERNSBIXSRK",46.932,145.098297119141,"[M - H]-",0.676563490896679
"1.1","cembio","neg","45","5-hydroxy-L-tryptophan","LDCYZAJDBXYCGN",48.92500000002,219.07780456543,"[M - H]-",0.584406034384052
"1.1","cembio","neg","47","L-citrulline","RHGKLRLOHDJJDR",50.91700000002,174.088500976563,"[M - H]-",0.466483588463231
"1.1","cembio","neg","48","N-acetyl-L-cysteine","PWKSKIMOESPYIA",51.91399999998,162.023101806641,"[M - H]-",0.713621948668375
"1.1","cembio","neg","49","glutathione","RWSXRVCMGQZWBV",52.90999999998,306.077087402344,"[M - H]-",0.839533036288597
"1.1","cembio","neg","52","D-alpha-aminobutyric acid","QWCKQJZIFLGMSD",56.61199999998,102.055999755859,"[M - H]-",0.35089188037248
"1.1","cembio","neg","53","N(6)-acetyl-L-lysine","DTERQYGMUDWYAZ",57.609,187.10920715332,"[M - H]-",0.417388545542083
"1.1","cembio","neg","55","guanosine 5'-monophosphate","RQFCJASXJCIDSX",59.601,362.051086425781,"[M - H]-",0.496365636320461
"1.1","cembio","neg","56","L-homoserine","UKAUYVFTDYCKQA",60.59800000002,118.05110168457,"[M - H]-",0.670950748056548
"1.1","cembio","neg","59","homocystine","ZTVZLYBCZNMWCF",63.58699999998,267.048095703125,"[M - H]-",0.0698139238646576
"1.1","cembio","neg","61","uridine 5'-monophosphate","DJJCXFVJDGTHFX",65.57899999998,323.029113769531,"[M - H]-",0.367085113284413
"1.1","cembio","neg","62","5-hydroxy-L-tryptophan","LDCYZAJDBXYCGN",66.576,219.07780456543,"[M - H]-",0.32046451096442
"1.1","cembio","neg","63","carnosine","CQOVPNPJLQNMDC",67.572,225.099502563477,"[M - H]-",0.387067669379205
"1.1","cembio","neg","64","L-citrulline","RHGKLRLOHDJJDR",68.568,174.088500976563,"[M - H]-",0.309687718589014
"1.1","cembio","neg","69","D-alpha-aminobutyric acid","QWCKQJZIFLGMSD",74.26399999998,102.055999755859,"[M - H]-",0.166064802983888
"1.1","cembio","neg","70","N(6)-acetyl-L-lysine","DTERQYGMUDWYAZ",75.25999999998,187.10920715332,"[M - H]-",0.423962385361904
"1.1","cembio","neg","71","O(4)-phospho-L-tyrosine","DCWXELXMIBXGTH",76.257,260.033294677734,"[M - H]-",0.515526437739663
