"chrom_peak_id","lab","consensus_id","sample","mzMin","mzMax","rtMin","rtMax","mz","polarity","mixture","into","intb","maxo"
"CP162852","hmgu",1986,35,78.0145574413732,78.0547013989348,36.6561928827288,47.0702760900683,78.0346547777266,0,"2_9",2644.89609575032,2626.29630137005,1171.84911274555
"CP162854","hmgu",1980,35,265.91880192693,265.959227082416,36.6561928827288,45.5754817239014,265.938997803224,0,"2_9",794.643806627151,778.587047957332,281.509639555316
"CP162917","hmgu",1984,35,122.004182514458,122.044675410647,32.9623691763908,47.0702760900683,122.024548499674,0,"2_9",14398.5428026845,14287.0306998187,6149.67752994567
"CP163015","hmgu",1987,35,443.025126498812,443.066340575108,49.4843297544974,61.7965519765687,443.046026227097,0,"2_9",3374.84959658621,3367.22017991952,904.511827671038
"CP163292","afekta",2592,9,262.11735926557,262.163556454145,389.596987759277,400.19218008735,262.142628339636,1,"2_2",12503.6129196645,11351.8290905837,4915.9306640625
"CP163346","hmgu",1981,35,117.0354390673,117.075710850015,72.1271223023085,95.093408794448,117.055544549334,0,"2_9",69860.6025868041,69445.4042390775,17382.9847412491
"CP163448","afekta",2596,9,304.276617362678,304.321985418996,405.78513798238,417.576014943662,304.299906930217,1,"2_2",5654.44947952549,5529.7562007545,2568.50744628906
"CP163546","hmgu",1975,35,174.934894915992,174.975684307336,130.668290625975,138.614636668825,174.955452125073,0,"2_9",1350.30295699912,1289.29910604944,527.883111109934
"CP163719","hmgu",1989,35,466.049135849769,466.091107126403,131.731137612304,146.808636569152,466.069985677988,0,"2_9",5724.03975813633,5713.81444563635,837.484558542823
"CP163775","hmgu",1972,35,158.062060599925,158.102225390082,130.218924113551,153.666606179442,158.082131061045,0,"2_9",470478.256915915,468848.034335016,86239.3224348297
"CP163776","hmgu",1988,35,447.032501894251,447.074508840149,172.670472139897,180.112673487708,447.053504133477,0,"2_9",451.648896461562,445.747595163263,190.881739422935
"CP163804","hmgu",1976,35,667.061941070648,667.10414083876,173.324897144976,180.863098657554,667.083101413255,0,"2_9",484.380231045378,481.575431045393,220.459628212433
"CP163871","afekta",2561,9,496.318718922122,496.36225412374,439.936247436146,454.722857660993,496.33975275977,1,"2_2",123359.656526029,120866.442888247,50365.28515625
"CP163872","afekta",2562,9,497.318737809676,497.364957079831,440.534976785825,454.722857660993,497.342518038825,1,"2_2",36986.915774599,36438.6683143657,14172.51171875
"CP164440","hmgu",1977,35,726.299162406368,726.342144673863,199.298242860883,207.521523216798,726.320483235265,0,"2_9",2611.4641018194,2608.0157684861,963.518168389351
"CP164459","hmgu",1978,35,794.284474536324,794.329610012678,198.786656533236,207.521523216798,794.305953900932,0,"2_9",621.935862206022,617.812147920324,221.104916617765
"CP164490","hmgu",1982,35,287.087811487578,287.128400181473,198.786656533236,208.938621630954,287.108176725669,0,"2_9",3426.78041112712,3421.25685557155,1152.19831887878
"CP164532","hmgu",1973,35,603.186646733124,603.227418139451,198.786656533236,208.177987514263,603.206994276439,0,"2_9",6392.52209022143,6387.68946522143,2098.3777694682
"CP164540","afekta",2578,9,688.496871170439,688.545974350124,496.251774228394,508.041827346895,688.520258007949,1,"2_2",32476.1300521699,25471.7352446904,10666.3681640625
"CP164570","hmgu",1979,35,187.076845791384,187.117225481107,256.656068107528,268.171646318283,187.097083997037,0,"2_9",2658.31656006777,2613.99393346455,694.800706693925
"CP164769","afekta",2571,9,601.448820015032,601.493587631806,499.850130172348,510.437297696794,601.472492201412,1,"2_2",20210.7816755374,16426.0433163951,6978.00048828125
"CP164828","afekta",2553,9,425.192428231078,425.23861690248,510.029789373787,522.410234730914,425.214642314316,1,"2_2",25030.0082612184,21129.3077607113,8972.732421875
"CP164852","afekta",2556,9,444.315107052319,444.358667555336,523.199757557184,537.974967554156,444.337379330788,1,"2_2",16040.3849381359,12903.9791395895,3476.00463867188
"CP164928","afekta",2560,9,487.337854530478,487.383655182058,522.002331820604,534.383739317496,487.360882448504,1,"2_2",19233.284657959,14521.0807262009,5073.7763671875
"CP164940","afekta",2575,9,644.472378629838,644.515909360684,498.652433142296,514.029789373787,644.494159928119,1,"2_2",49304.1547156934,38569.8049078016,14242.6181640625
"CP165022","hmgu",1983,35,293.15571527227,293.196377996646,374.958073797842,387.460570499645,293.176158016841,0,"2_9",190951.47235759,190459.256514649,94256.8799863927
"CP165784","afekta",2580,9,744.55936469161,744.605991142234,587.241570823594,598.422570823627,744.582777113861,1,"2_2",10712.7327595825,9566.24177292186,4505.31225585938
