"mixture","lab","polarity","compound","adduct","source","areaUnderTic","xicFwhm","maxIntensity","apex_rt","snr","baseline","noise","n_scans_in_shape","prior_kind","detection"
"1.6","hmgu","pos","(6S)-5-formyltetrahydrofolic acid","[M + K]+","consensus",1341.27294663698,2.07000000000002,451.012857480004,184.14499999998,31.4961400872149,27.8343166918294,13.4358857820789,5,"consensus","detected"
"1.6","hmgu","pos","(6S)-5-formyltetrahydrofolic acid","[M + Na]+","consensus",1341.27294663698,2.07000000000002,451.012857480004,184.14499999998,31.4961400872149,27.8343166918294,13.4358857820789,5,"consensus","detected"
"1.6","hmgu","pos","3-chloro-L-tyrosine","[M + H]+","consensus",64380.8544483373,3.42099999996,14236.8614225548,53.49799999998,14233.405757759,3.45566479577428,1,5,"consensus","detected"
"1.6","hmgu","pos","D-serine","[M + H]+","own",1942.51496867961,1.34299999998,753.421969235808,24.69400000002,278.341569202641,4.08562713719766,2.69214671831167,3,"own","detected"
"1.6","hmgu","pos","L-arabinitol","[M + H]+","consensus",629.911051586652,23.19800000004,79.3555669199322,26.037,6.69124998742539,21.4068946328716,8.6603657606518,3,"consensus","detected"
"1.6","hmgu","pos","L-arabinitol","[M + Na]+","consensus",3361.91796191666,0.643000000019999,1053.44058663512,25.39399999998,1049.55228633868,3.88830029643827,1,4,"consensus","detected"
"1.6","hmgu","pos","L-histidine","[M + H]+","own",5756.37828595536,9.15799999998,298.398418863791,35.889,295.553045323168,2.84537354062309,1,5,"consensus","detected"
"1.6","hmgu","pos","L-histidine","[M + Na]+","consensus",NA,NA,NA,54.16699999998,1.25971766704199,6.96063415272511,7.54897110162437,2,"consensus","below_detection"
"1.6","hmgu","pos","L-methionine S-oxide","[M + H]+","consensus",6998.23593540984,9.054,39.2900470672539,33.03,5.98614762688262,12.7810396533623,4.42839185837062,3,"consensus","detected"
"1.6","hmgu","pos","L-threonine","[M + H]+","consensus",5071.75092451629,1.34299999998,1959.31411557178,25.39399999998,1364.5596792992,4.95104157395599,1.43222982742794,4,"consensus","detected"
"1.6","hmgu","pos","N(alpha)-acetyl-L-arginine","[M + H]+","consensus",643898.278160762,2.052,45728.2085953779,28.82200000002,6473.6190698962,9.47279559154094,7.06231480508157,4,"consensus","detected"
"2.1","hmgu","pos","2'-deoxyguanosine","[M + H]+","consensus",35314.7800024949,25.17999999996,45.8338973182526,51.10600000002,6.93048739579995,6.85702111927094,5.62397331861575,5,"consensus","detected"
"2.1","hmgu","pos","2'-deoxyguanosine","[M + Na]+","consensus",35314.7800024949,25.17999999996,45.8338973182526,51.10600000002,6.93048739579995,6.85702111927094,5.62397331861575,5,"consensus","detected"
"2.1","hmgu","pos","3-hydroxybenzyl alcohol","[M + H]+","consensus",NA,NA,NA,126.57400000002,0.328628185591015,2.4648525956718,1,5,"consensus","below_detection"
"2.1","hmgu","pos","3-hydroxybenzyl alcohol","[M + Na]+","consensus",84.2754755172395,NA,11.3145539535635,122.56900000002,8.59728807063061,2.71726588293291,1,3,"consensus","detected"
"2.1","hmgu","pos","5-aminoimidazole-4-carboxamide","[M + H]+","consensus",7190.60967198366,1.458,1976.49836545748,25.75900000002,354.249073902152,19.2134142205978,5.5251660355152,4,"consensus","detected"
